GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
YNaMi,pk.lucidxpo.ynami.utils,ProfileManager,0,23,0,0,0,5,0,3,0,3
YNaMi,pk.lucidxpo.ynami.utils,Randomly,30,51,1,1,7,9,3,6,2,6
YNaMi,pk.lucidxpo.ynami.utils,Identity,57,16,2,0,12,4,8,4,7,4
YNaMi,pk.lucidxpo.ynami.persistence.model,AuditEntry,32,29,0,0,9,12,1,1,1,1
YNaMi,pk.lucidxpo.ynami.persistence.model.security,Role,0,6,0,0,0,3,0,1,0,1
YNaMi,pk.lucidxpo.ynami.persistence.model.security,RoleName,0,21,0,0,0,4,0,1,0,1
YNaMi,pk.lucidxpo.ynami.persistence.model.security,User,0,18,0,0,0,8,0,1,0,1
YNaMi,pk.lucidxpo.ynami.spring.sample,ToggleableServiceConfiguration,0,39,0,0,0,11,0,6,0,6
YNaMi,pk.lucidxpo.ynami.service.sample.security,UserDetailsServiceImpl,0,25,0,0,0,7,0,3,0,3
YNaMi,pk.lucidxpo.ynami.spring.features,CustomFeatureProvider,0,19,0,0,0,5,0,3,0,3
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureToggles,0,45,0,0,0,8,0,1,0,1
YNaMi,pk.lucidxpo.ynami.spring.features,TogglzWrapper,3,7,0,0,1,5,1,3,1,3
YNaMi,pk.lucidxpo.ynami.spring.features,EnvironmentFeatureMetaData,0,64,0,2,0,11,0,6,0,5
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureManagerWrapper,0,30,0,0,0,8,0,4,0,4
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureProxyFactoryBeanWrapper,0,3,0,0,0,1,0,1,0,1
YNaMi,pk.lucidxpo.ynami.spring.features,TogglzConfiguration,0,18,0,0,0,6,0,2,0,2
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureManagerDefaultWrapper,0,7,0,0,0,4,0,4,0,4
YNaMi,pk.lucidxpo.ynami.service.sample,NewToggleableServiceImpl,0,5,0,0,0,2,0,2,0,2
YNaMi,pk.lucidxpo.ynami.service.sample,OldToggleableServiceImpl,0,5,0,0,0,2,0,2,0,2
YNaMi,pk.lucidxpo.ynami.service.sample,SampleServiceImpl,0,59,0,0,0,13,0,8,0,8
YNaMi,pk.lucidxpo.ynami.spring.aspect,FeaturesAspect,0,35,0,2,0,12,0,4,0,3
YNaMi,pk.lucidxpo.ynami.spring.security,ServletContainerRedirectHttpToHttpsConfiguration.new TomcatServletWebServerFactory() {...},21,3,0,0,7,1,1,1,1,1
YNaMi,pk.lucidxpo.ynami.spring.security,SpringSecurityAuditAwareImpl,0,22,2,4,0,6,2,3,0,2
YNaMi,pk.lucidxpo.ynami.spring.security,ServletContainerRedirectHttpToHttpsConfiguration,0,47,0,0,0,12,0,4,0,4
YNaMi,pk.lucidxpo.ynami.spring.security,UserPrincipal,0,39,0,0,0,14,0,6,0,6
YNaMi,pk.lucidxpo.ynami.spring.security,SecurityConfig,49,126,2,4,8,36,5,12,3,11
YNaMi,pk.lucidxpo.ynami.controller.sample,SampleFeatureController,0,35,0,2,0,9,0,4,0,3
YNaMi,pk.lucidxpo.ynami.controller.sample,SampleController,0,226,0,12,0,57,0,17,0,11
YNaMi,pk.lucidxpo.ynami.spring,PersistenceConfig,0,39,0,0,0,11,0,6,0,6
YNaMi,pk.lucidxpo.ynami.spring,MvcConfig,0,57,0,0,0,8,0,3,0,3
YNaMi,pk.lucidxpo.ynami.spring,MiscConfig,0,7,0,0,0,2,0,2,0,2
YNaMi,pk.lucidxpo.ynami.spring,AuditorAwareImpl,0,6,0,0,0,2,0,2,0,2
YNaMi,pk.lucidxpo.ynami,YNaMiApplication,5,15,0,4,2,6,1,4,1,2
