GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
YNaMi,pk.lucidxpo.ynami.utils,ProfileManager,23,0,0,0,5,0,3,0,3,0
YNaMi,pk.lucidxpo.ynami.utils,Randomly,37,44,1,1,9,7,5,4,4,4
YNaMi,pk.lucidxpo.ynami.utils,Identity,61,12,2,0,13,3,9,3,8,3
YNaMi,pk.lucidxpo.ynami.persistence.model,AuditEntry,61,0,0,0,21,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami.persistence.model.security,Role,6,0,0,0,3,0,1,0,1,0
YNaMi,pk.lucidxpo.ynami.persistence.model.security,RoleName,21,0,0,0,4,0,1,0,1,0
YNaMi,pk.lucidxpo.ynami.persistence.model.security,User,18,0,0,0,8,0,1,0,1,0
YNaMi,pk.lucidxpo.ynami.spring.sample,ToggleableServiceConfiguration,39,0,0,0,11,0,6,0,6,0
YNaMi,pk.lucidxpo.ynami.service.sample.security,UserDetailsServiceImpl,25,0,0,0,7,0,3,0,3,0
YNaMi,pk.lucidxpo.ynami.spring.features,CustomFeatureProvider,19,0,0,0,5,0,3,0,3,0
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureToggles,0,45,0,0,0,8,0,1,0,1
YNaMi,pk.lucidxpo.ynami.spring.features,TogglzWrapper,10,0,0,0,6,0,4,0,4,0
YNaMi,pk.lucidxpo.ynami.spring.features,EnvironmentFeatureMetaData,64,0,2,0,11,0,6,0,5,0
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureManagerWrapper,30,0,0,0,8,0,4,0,4,0
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureProxyFactoryBeanWrapper,3,0,0,0,1,0,1,0,1,0
YNaMi,pk.lucidxpo.ynami.spring.features,TogglzConfiguration,18,0,0,0,6,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami.spring.features,FeatureManagerDefaultWrapper,7,0,0,0,4,0,4,0,4,0
YNaMi,pk.lucidxpo.ynami.service.sample,NewToggleableServiceImpl,5,0,0,0,2,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami.service.sample,OldToggleableServiceImpl,5,0,0,0,2,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami.service.sample,SampleServiceImpl,59,0,0,0,13,0,8,0,8,0
YNaMi,pk.lucidxpo.ynami.spring.aspect,FeaturesAspect,35,0,2,0,12,0,4,0,3,0
YNaMi,pk.lucidxpo.ynami.spring.security,ServletContainerRedirectHttpToHttpsConfiguration.new TomcatServletWebServerFactory() {...},24,0,0,0,8,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami.spring.security,SpringSecurityAuditAwareImpl,22,0,6,0,6,0,5,0,2,0
YNaMi,pk.lucidxpo.ynami.spring.security,ServletContainerRedirectHttpToHttpsConfiguration,47,0,0,0,12,0,4,0,4,0
YNaMi,pk.lucidxpo.ynami.spring.security,UserPrincipal,39,0,0,0,14,0,6,0,6,0
YNaMi,pk.lucidxpo.ynami.spring.security,SecurityConfig,175,0,6,0,44,0,17,0,14,0
YNaMi,pk.lucidxpo.ynami.controller.sample,SampleFeatureController,4,31,0,2,1,8,1,3,1,2
YNaMi,pk.lucidxpo.ynami.controller.sample,SampleController,0,226,0,12,0,57,0,17,0,11
YNaMi,pk.lucidxpo.ynami.spring,PersistenceConfig,39,0,0,0,11,0,6,0,6,0
YNaMi,pk.lucidxpo.ynami.spring,MvcConfig,57,0,0,0,8,0,3,0,3,0
YNaMi,pk.lucidxpo.ynami.spring,MiscConfig,7,0,0,0,2,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami.spring,AuditorAwareImpl,6,0,0,0,2,0,2,0,2,0
YNaMi,pk.lucidxpo.ynami,YNaMiApplication,20,0,4,0,8,0,5,0,3,0
